model,label,coef,p
flant5_xxl,man,0.031,0.0
flant5_xxl,man,0.021,0.0
flant5_xxl,man,0.041,0.0
flant5_xxl,woman,0.02,0.0
flant5_xxl,woman,0.011,0.0
flant5_xxl,woman,0.03,0.0
flant5_xxl,white,0.04,0.0
flant5_xxl,white,0.03,0.0
flant5_xxl,white,0.051,0.0
flant5_xxl,black,0.04,0.0
flant5_xxl,black,0.023,0.0
flant5_xxl,black,0.058,0.0
flant5_xxl,asian,-0.013,0.287
flant5_xxl,asian,-0.036,0.287
flant5_xxl,asian,0.011,0.287
flan_ul2,man,0.032,0.0
flan_ul2,man,0.021,0.0
flan_ul2,man,0.043,0.0
flan_ul2,woman,-0.008,0.162
flan_ul2,woman,-0.019,0.162
flan_ul2,woman,0.003,0.162
flan_ul2,white,-0.007,0.161
flan_ul2,white,-0.016,0.161
flan_ul2,white,0.003,0.161
flan_ul2,black,-0.034,0.001
flan_ul2,black,-0.054,0.001
flan_ul2,black,-0.013,0.001
flan_ul2,asian,-0.092,0.0
flan_ul2,asian,-0.12,0.0
flan_ul2,asian,-0.063,0.0
tulu2_7b,man,-0.023,0.001
tulu2_7b,man,-0.036,0.001
tulu2_7b,man,-0.009,0.001
tulu2_7b,woman,-0.01,0.188
tulu2_7b,woman,-0.024,0.188
tulu2_7b,woman,0.005,0.188
tulu2_7b,white,-0.007,0.36
tulu2_7b,white,-0.023,0.36
tulu2_7b,white,0.008,0.36
tulu2_7b,black,-0.035,0.005
tulu2_7b,black,-0.059,0.005
tulu2_7b,black,-0.011,0.005
tulu2_7b,asian,-0.0,0.985
tulu2_7b,asian,-0.029,0.985
tulu2_7b,asian,0.029,0.985
tulu2_13b,man,-0.007,0.338
tulu2_13b,man,-0.021,0.338
tulu2_13b,man,0.007,0.338
tulu2_13b,woman,0.026,0.001
tulu2_13b,woman,0.011,0.001
tulu2_13b,woman,0.041,0.001
tulu2_13b,white,0.046,0.0
tulu2_13b,white,0.032,0.0
tulu2_13b,white,0.06,0.0
tulu2_13b,black,0.014,0.3
tulu2_13b,black,-0.013,0.3
tulu2_13b,black,0.041,0.3
tulu2_13b,asian,-0.021,0.166
tulu2_13b,asian,-0.051,0.166
tulu2_13b,asian,0.009,0.166
gpt35,man,-0.008,0.111
gpt35,man,-0.017,0.111
gpt35,man,0.002,0.111
gpt35,woman,0.008,0.055
gpt35,woman,-0.0,0.055
gpt35,woman,0.017,0.055
gpt35,white,0.019,0.0
gpt35,white,0.009,0.0
gpt35,white,0.03,0.0
gpt35,black,0.034,0.004
gpt35,black,0.011,0.004
gpt35,black,0.056,0.004
gpt35,asian,0.048,0.002
gpt35,asian,0.018,0.002
gpt35,asian,0.078,0.002
gpt4,man,0.031,0.0
gpt4,man,0.02,0.0
gpt4,man,0.042,0.0
gpt4,woman,-0.016,0.003
gpt4,woman,-0.026,0.003
gpt4,woman,-0.006,0.003
gpt4,white,0.039,0.0
gpt4,white,0.029,0.0
gpt4,white,0.05,0.0
gpt4,black,0.128,0.0
gpt4,black,0.104,0.0
gpt4,black,0.151,0.0
gpt4,asian,-0.107,0.0
gpt4,asian,-0.131,0.0
gpt4,asian,-0.083,0.0
llama31_8b,man,0.001,0.892
llama31_8b,man,-0.018,0.892
llama31_8b,man,0.02,0.892
llama31_8b,woman,0.018,0.064
llama31_8b,woman,-0.001,0.064
llama31_8b,woman,0.037,0.064
llama31_8b,white,0.009,0.345
llama31_8b,white,-0.01,0.345
llama31_8b,white,0.029,0.345
llama31_8b,black,0.017,0.249
llama31_8b,black,-0.012,0.249
llama31_8b,black,0.047,0.249
llama31_8b,asian,0.079,0.0
llama31_8b,asian,0.039,0.0
llama31_8b,asian,0.119,0.0
mistral03_7b,man,-0.009,0.083
mistral03_7b,man,-0.019,0.083
mistral03_7b,man,0.001,0.083
mistral03_7b,woman,0.005,0.389
mistral03_7b,woman,-0.006,0.389
mistral03_7b,woman,0.016,0.389
mistral03_7b,white,0.005,0.429
mistral03_7b,white,-0.007,0.429
mistral03_7b,white,0.017,0.429
mistral03_7b,black,0.035,0.004
mistral03_7b,black,0.011,0.004
mistral03_7b,black,0.059,0.004
mistral03_7b,asian,0.044,0.001
mistral03_7b,asian,0.017,0.001
mistral03_7b,asian,0.07,0.001
qwen25_7b,man,-0.013,0.033
qwen25_7b,man,-0.025,0.033
qwen25_7b,man,-0.001,0.033
qwen25_7b,woman,0.063,0.0
qwen25_7b,woman,0.049,0.0
qwen25_7b,woman,0.076,0.0
qwen25_7b,white,-0.006,0.396
qwen25_7b,white,-0.018,0.396
qwen25_7b,white,0.007,0.396
qwen25_7b,black,0.154,0.0
qwen25_7b,black,0.128,0.0
qwen25_7b,black,0.179,0.0
qwen25_7b,asian,0.113,0.0
qwen25_7b,asian,0.084,0.0
qwen25_7b,asian,0.141,0.0
